分词,评分,评论时间
柚子 特别 好 广西 运 东北 真 不 容易 现在 都 零下 十 度 缓缓 三四 小时 才 吃 口感 相当 好,5,2020-11-23 17:55:59
红心 蜜柚 酸甜 可口 京东 商城 水果 活动 搞 非常 非常 好动 动手 指 浇 浇水 再 花 分 钱 买 想 吃 水果 次 柚子 梅州柚 感觉 超棒 大家 快来 买 吃 吃 看,5,2020-11-14 08:05:24
蜜柚 大 肉质 厚 图片 上 蜜柚 还 好 物流 不错 发货 超级 快 取 快递 方便 服务 质量 优良 商家点,5,2020-11-11 18:43:10
红柚 收到 非常 新鲜 成 实 个头 大 打开 看看 果肉 非常 饱满 皮 薄 尝 尝 口感 挺 好 酸甜 可口 非常 好,5,2020-11-10 15:28:11
树 浇水 质量 过硬 才 行,3,2021-03-16 21:23:54
果子 个头 很 大 鲜果 服务 态度 物流 很 给力 次 购物 非常 满意,5,2020-11-09 16:25:12
鲜嫩 爽口 真正 物美价廉 超市 买 便宜 太 柚子 不 上 火果肉 非常 细腻 口 咬 下去 唇齿留香 看 皮 看 出 挺 新鲜 还 加 些 蜂蜜 坐 蜂蜜柚 子茶 独特 风味 果肉 全 黄色 晶莹剔透 汁 饱满 吃 起来 酸酸甜甜 很 满意,5,2020-11-09 11:41:42
真的 太 好 满意 皮真 超级 薄,5,2020-11-01 09:42:56
非常 好吃 多次 购买 不错,5,2021-11-26 08:12:55
甜嫩汁 好,5,2021-11-25 17:57:27
太酸 还 红心 一点 都 不 红,5,2021-11-24 17:00:32
建议 大家 别 买 买 两 都 不 照片 二 上 柚子 已经 完全 软 吃,5,2021-11-23 20:09:42
柚子 新鲜 干净 味道 清香,5,2021-11-23 17:08:24
皮薄 肉 已 回购 下次 还,5,2021-11-22 16:51:42
果肉 很 不错 很 好吃 价格 便宜 很 划算,5,2021-11-21 17:07:30
很 好吃 回购 好几 次 父母 买 反应 很 好 哈哈哈 哈哈哈 姐姐 家,5,2021-11-19 10:02:54
味道 好吃 甜水 份 大 已经 第次 回购 今年 冬天 吃 柚子 他家 吃 完 还 会 再 买,5,2021-11-18 20:09:06
第三 次 买 次 大有小有生有熟 希望 鲜 甜 汁,4,2021-11-17 20:57:07
差差差差,3,2021-11-17 15:05:19
很 甜,5,2021-11-17 13:11:45
买 n 次 真的 喜欢 吃 新鲜 便宜,5,2021-11-16 16:26:35
收到 分 钱 奖励 以后 感觉 很 好吃 回购 竟然 天壤之别皮 厚 酸难 吃 次 还 买 一点 经验主义 害 习惯 好评 都 不 容易,5,2021-11-16 13:47:44
不 知道 双十一 居然 好几 天 才 两 感觉 好 小 感觉 包装 感觉 很 随意,5,2021-11-15 18:15:07
回购 很多 次 还 不错 这种 东西 看 运气,5,2021-11-15 17:12:43
柚子 收到 还 不错 五 分 好评,5,2021-11-14 18:09:30
不错,5,2021-11-14 16:06:48
果子 收到 满意 非常 满意,5,2020-10-31 12:11:06
柚子 蜜柚 很 新鲜 福建 红心柚 子口感 很 好 鲜 甜 可口,5,2020-10-29 15:22:10
柚子 收到 非常 好吃粒粒 饱满 还 会 买,5,2020-10-22 22:25:48
快递 老板 家里 事 耽搁 两 天 还 好 收到 柚子 好好 新鲜 包装 很 好 红心 柚子皮 薄 果肉 饱满 口感 蛮 好 好吃 甜水 份 足足 家人 都 说 口感 很 好 整体 满意 必须 五星 好评 蛮 好 会 关注 再,5,2020-10-07 16:57:17
梅姨 柚子 很 漂亮 很 足称 感谢 惊喜 感谢 卖家 感谢 农场 今年 中秋 吃 送 人 刚刚 好 谢谢,5,2020-10-01 08:42:17
收到 柚子 非常 新鲜 没有 坏 表皮 看 很 漂亮 果肉 非常 好吃 老人 小孩 都 喜欢 吃 吃 完 整个 口腔 都 柚子 清香味 股 淡淡的 清香 正宗 蜜柚 味道 柚子 品质 好 皮 薄肉厚 个头 都 差不多 大 比较 新鲜 没有 坏 甜甜 味道 很 好吃 非常 满意 水分 很多 很 新鲜 颗粒 大 水分 足 味道 不错 挺 甜 汁水 浓密 喜欢 家人 很 喜欢 忍不住 扒 柚子 真 不错 色泽 流口 水柚子 吃 起来 不 干 味道 不错 甜甜的 柚子 喜欢 吃 水果 柚子 天 吃 完 喜欢 他家 果子 新鲜 分量 足 味道 美 价格 不 贵 不 错 不错 很 满意 值得 推荐,5,2020-10-11 19:55:44
柚子 很 好吃 感谢 京东 果园 免费 老百姓 喜闻乐见 类 水果 主要 特点 含钾 非常 丰富 临床 中 缺 钾 造成 疾病 纷纷 柚子 这种 补充 食材 特点 含 钠 非常 少 能够 补充 钾 过程 中 一定 排钠 作用 电解质 之外 柚子 中 维生素 c 含量 非常 丰富 具备 很 强 抗氧化 作用 大家 看到 柚子 皮 都 很 厚 能够 防止 日晒 造成 维 c 丢失 这种 长期 食用 每天 补充 维生素 c 非常 帮助 柚子 优点 心血管 疾病 防治 之中 降低 血液 中 高 胆固醇 血症 都 功效,5,2020-10-25 21:28:40
很 好 皮 薄肉厚 很 甜 水分 刚刚 好 可能 再 放 两 天 会 更 好,5,2021-10-15 22:29:59
次 回购 十 斤 大果 第一 次 品尝 浇 水果 免费 柚子皮 薄肉 红红 酸甜度 刚好 水份 足 价格 合适 店家 打包 好 发货 速度 很 快 隔 天 下次 还 会 回购,5,2021-09-18 21:56:37
发货 很快 物流 很快 包装 很 好 没有 破损 还 没有 吃 农场 兑换 挺 划算 好吃 以后 会 继续 回购 会 推荐 朋友 买,5,2020-09-18 00:00:44
很 棒 水分 足,5,2021-11-09 20:31:47
多次 购买 小 个头 水份 更 足,5,2021-11-09 17:29:37
好吃 多次 购买 认 准 家 柚子 会 回购,5,2021-11-08 10:08:05
买 好几 次 果肉 老 不 准备 再 下 单 最后 次 不好,5,2021-11-07 17:13:09
物美价廉 挺 好吃 买 点 吃 试试 小孩 爱 吃 减肥 必备品 哈哈哈 哈哈哈 减肥 吃 吃 发货 挺 快 包装 没有 坏 好评 好评 好评,5,2021-11-06 23:15:30
买 次 喜欢 吃 橘子 橙子 柚子 这种 水果 一边 看 电视 一边 吃,5,2021-11-06 09:14:58
不 甜,5,2021-11-05 22:51:41
全 五星 好评 符合 商家 商品 描述 挺 好 加油,5,2021-11-03 09:00:20
很 好吃 水分 充足 同事 都 买,5,2021-11-02 10:12:59
口味 不错,5,2021-11-01 15:49:22
三 大果 很 甜 硬心,5,2021-11-01 11:07:28
柚子 很 甜 物流 很快 值得 购买,5,2021-10-31 19:02:14
果肉 干巴 无 水分 根本 难以 下 咽 商家 不 承认 认为 没有 问题 简直 无 语 花钱 买 教训 希望 消费者 不要 上当 受骗,1,2021-10-31 13:26:47
次 柚子 很 好吃 不大 正好 一家 人 顿 吃 完 很 满意,5,2021-10-28 19:44:20
很 好吃 多次 购买,5,2021-10-28 16:58:20
还 行 红柚 个头 点 小,4,2021-10-28 15:55:09
个头 挺 大 还 没 吃,5,2021-10-27 18:20:55
柚子 清 甜 汁,5,2021-10-24 17:34:32
经常 京东 商城 买 水果 物美价廉 超值 优惠 商家 包装 精细 上心 用心 尤其 疫情 期间 大意 不得 红心柚 子 红心柚 子 第一 次 品尝 地区 红心柚 子 迫不及待 打开 品尝 一下 个头 不 大 水分 足足 酸酸甜甜 味道 头 天 家门口 超市 买 红心柚 子 好,5,2021-01-21 13:52:04
做 任务 免费 送 真的 很 不错 感谢 大强子,5,2020-09-17 18:45:27
每天 京东 做 趣味 活动 奖励品 柚子 味道 酸酸甜甜 个人 觉得 还 大 小 分量 见仁见智 白嫖 品质 已经 很 不 知道 商家 没 亏 很多 钱 毕竟 东西 还 包邮 希望 店家 生意 越来越 好多 赚钱 好评,5,2021-03-08 22:25:42
很 满意 下次 再 买 你家 果 大 新鲜 值得 推荐,5,2021-03-02 08:32:28
很 好 二 大 柚子 皮 薄 肉 甜 果汁 味道 清香 果皮 细腻 颜色 正 看到 喜人 好 长 时间 才 发货 等待 很 值得 包装 好 没 损坏 好,5,2021-02-28 22:02:00
柚子 已 收到 非常 好吃 大人 小孩 都 喜欢 吃 下次 还 这家 店 逛 光顾,5,2021-02-28 11:44:06
会 说话 产品 杠杠的,5,2021-02-26 13:05:50
果子 不错 很 甜蜜 吃 完 还 买,5,2021-02-25 10:32:41
还 好 放 很 久 都 好 送货 很快 没 破损,5,2021-02-16 19:15:47
水分 蛮 点 苦,3,2021-03-14 13:47:25
柚子 大个 好吃皮薄,5,2021-10-17 22:03:46
已经 第三 次 下 单 两 次 都 很 好 次 买 件 分 两 地方 发 货 看来 件 不 样口感 完全 第一 件,5,2021-10-16 15:27:19
柚子 上面 都 干 不好 吃 不 甜酸,1,2021-10-15 19:42:57
烂,1,2021-10-14 18:16:23
不好 非常 干 没 水分,1,2021-10-14 13:48:06
红心柚 很 好吃 谢谢 店家,5,2021-10-14 04:38:58
超级 好吃,5,2021-10-12 17:14:19
之前 买 两 次 嫩酸 甜 适中 次 买 口感 不 粗干 掰 散 联系 客服 照相 后 客服 坚持 说 没什么 无语,2,2021-10-11 11:09:07
京东 上 最 差 次 购物 不 知道 不 还 没 成熟 一点 甜味 都 没有 吃 木头 棍 似 好多 都 白色 没有 水分,1,2021-10-10 18:52:58
不错 小孩 挺 喜欢 吃,5,2021-10-10 08:14:37
非常 不错 蜜柚 吃 起来 很 糯 色彩 鲜艳 一共 两 大 小 上次 购买 蜜柚 好吃 些 需要 下次 再 回 购物 流 很 好 很 好 全,5,2021-10-09 22:19:34
好吃 已 多次 购买 还 推荐 朋友,5,2021-10-09 21:53:21
货物 收到 包装 无损 快递 还 行 品质 尝试 后,4,2021-10-09 21:08:21
还,5,2021-10-09 10:11:31
还 水 份 比较 足,5,2021-10-08 13:28:17
苦 吐 上当,5,2021-10-04 10:47:24
柚子 不 老 甜嫩 汁,5,2021-10-03 10:02:12
蜜柚 试 吃 红色 果肉 味道 酸 甜 可口 果子 颜色 蛋 黄色 样子 看 性价比 超 高 比较 适合 推荐 购买 物流 服务 良好 值得 五星 好评,5,2021-02-11 23:39:07
产地 直销 发货 很快 下 单 当天 发货 隔 天 收到 感谢 商家 发 水果 包装 很 严实 很 新鲜 拆开 品尝 一下 汁水 味道 微酸带 甜真 太 好吃 特别 满意,5,2021-02-09 20:10:05
京东 购物 很 满意 次 买 红油 很 不错 吃 起来 甜甜 带 一点点 酸甜 非常 可口 吃 完 还 会 再 买 红油 非常 超值 物美价廉 值得 购买 超赞,5,2021-02-08 10:16:23
红心柚 好吃 甜 水分 大 价格 实体店 便宜 很多 皮薄 宝贝 真 不错,5,2021-02-06 22:00:20
很快 收到 货 包装 完美 质量 很 好 非常 满意 值得 推荐,5,2021-02-06 16:28:54
梅珍 红心柚 子 已 收到 韵达 快递 天才 送 包装 完好无损 打开 看 挺 新鲜 好 商家 还 送 开柚子 小 物品 很 细心 赞,5,2021-02-06 15:38:06
兑换 礼品 不说 整体 上 感觉 非常 满意 非常 不错,5,2021-02-05 19:59:20
东东 兑换 抽子 很 好 酸 甜 可口 孩子 很 喜欢 吃 物流 快 还 想 回购 快递 小哥 服务 太度 好,5,2021-02-05 15:50:33
包装 好 快递 快 很 甜 好吃 甜甜 味道 不错,5,2021-02-03 21:53:18
很 好 二 柚子 公司 收到 同事 都 喜欢 都 说 好吃 超市 好吃 清香 不 涩 甜美 汁 物流 好 包装 好 没有 损伤 京 东种 水果 得到 好,5,2021-02-03 14:38:56
不好 吃怪 味道 都 丢 慎 买,5,2021-09-25 20:06:19
家里 爸妈 买 说 好吃,5,2021-09-23 18:51:49
不好 吃 干 没有 水,1,2021-09-22 21:16:00
柚子 外观 看起 还 小 块 坏 地方 没有 上次 买 好吃 这次 里面 水分 很 干 感觉 不 甜 不 很 好吃 不 知道 回 事 里面 水分 很 干,3,2021-09-22 09:52:34
口感,5,2021-09-21 21:26:56
水分 甜度 都 上次 买 白柚,5,2021-09-20 17:07:43
收到 货 包裹 完好 没有 挤压 红心柚 箱 个头 不 特别 大 大 三 小 质量 很 好 水分 非常 足 很 新鲜 物美价廉物流 给力 价格 合适 值得 回购,5,2021-09-18 20:15:35
总体 满意 点 甜 味道 浓 价格 便宜 新鲜 吃 完 再 买,5,2021-09-17 15:30:11
两 柚子 都 内侧长 条形 果肉 水分 不足 发 白 硬硬 吃 起来 都 外侧 果肉 还 不错 差不多 掰 掉 超过 三分之一 果肉,3,2021-09-17 13:56:38
东西 不错 很 好 质量 好评,5,2021-09-16 20:48:23
没 水份,5,2021-09-14 19:18:45
果肉 很 干 一点 都 不 甜 很 失败 次 购物,1,2021-09-13 20:40:15
挺 甜,5,2021-09-12 19:17:51
去年 买 挺 好吃 今年 不 知道 不 没 水分 不足,5,2021-09-12 09:49:46
发 头 大 好吃 水份 很 甜 很 干 啃 木头 买 份 都 估计 好 坏 掺 发货 不怎么 好 般,5,2021-09-11 17:05:08
有点 硬籽 还 好,5,2021-09-09 22:02:39
物流 太 慢 柚子 看 倒是 不错 今天 刚 收到 还 没 吃,5,2021-09-09 20:16:22
快递 速度 挺 快 包装 很 好 两 个头 不 大 质量 很 好 皮 很 薄肉 很 饱满 水 嫩 水嫩 很 不错 味道 酸甜酸 甜 挺 好吃,5,2021-02-03 08:35:11
比较 不错 肉 很 嫩 颜色 粉红 不 上次 红色 大小 看 比较 小 京东 免费 水果 出来 已经 很 满意 两 都 大 比较 均匀,5,2021-02-02 23:30:39
京东 果园 中 感谢 京东 平台 感谢 暑假 蜜柚 收到 快递 蛮 快 没 天 收到 快递 小哥 服务 热情 点赞 鼓励 蜜柚 包装 很 好 没有 破损 打开 蛮 惊喜 两 大大 色泽 金黄 个头 均匀 股 蜜柚 香甜 味道 很 好 闻 拨开 尝 尝 果肉 紧实 多汁 颜色 红润润 晶莹剔透 非常 诱人 口感 酸酸甜 甜皮 薄 少子 口 下去 都 幸福 味道 关键 价格 实惠 超市 便宜 非常 划算 喜欢 朋友 抓紧 时间 下手,5,2021-02-01 18:34:00
宝贝 收到 味道 很 甜,5,2021-01-31 19:39:39
农场 上次 收获 收到 不错 次 选 两 都 很 新鲜 红心柚 子 个头不小 都 很 饱满 薄皮酸 甜 可口 汁 每个 都 袋子 单独 包装 物流 很快,5,2021-01-31 01:40:53
柚子 收到 大 圆皮 薄肉厚 酸酸甜甜 水分 很 足 很 好吃 下次 还 买,5,2021-01-30 20:30:11
柚子 收到 份量 很 足 水份 足物美价廉 值得 拥有 五星 好评,5,2021-01-30 16:47:25
大 薄 买 柚子 真的 很 好,5,2021-01-29 20:18:07
非常 好吃 下次 还 会 油子,5,2021-01-28 14:48:05
很 好好 二 柚子 很 甜 没 涩味 苦味 清香味 好 物流 很快 物品 干净 包装 很 好 没有 损坏 没有 异味 皮 薄 味 美 红心柚 很 好吃,5,2021-01-28 14:39:11
柚子 品质 非常 好 肉 汁 水 红色 心 物流 很快,5,2021-01-28 11:45:07
物流 快 包装 好 非常 新鲜 清 甜微 酸水 份 特别 清润 甘之如饴皮薄 易 剥 果肉 颜色 增 食欲 吃 上 瘾 值得 买 五星 好评,5,2021-01-27 23:51:09
柚子 收到 很 新鲜 很 香甜 水头 足 给予 五星 好评,5,2021-01-25 20:17:07
对不起 大 吃 掉 口感 很 好 商家 信誉 好 下次 还 购买,5,2021-01-23 12:20:11
购买 柚子 时 正逢 北方 气温 骤降 最低 达到 零下 二十 度 柚子 都 冻伤 客服 联系 之后 立刻 退款 非常 感谢,5,2021-01-22 21:08:32
挺 好吃 味道 很 好 包装 非常 好 京东 农场 出来 发货 速度 快 物流 很快 好评 好评,5,2021-01-22 14:27:09
柚子 很 好 物流 快 商家 服务 态度 很 好 赞赞,5,2021-01-22 12:03:37
口感 非常 棒 柚子 水分 足 酸酸甜甜 适合 口味 京东 商城 水果 值得 购买,5,2021-01-22 11:33:20
果园 水果 快递 非常 快 收到 两 粒 柚子 还 蛮 大 只 没 想到 季节 新鲜 柚子 红肉 水分 特别 特别 挺 好 不 酸 很 值得,5,2021-01-22 01:22:28
东西 不错 发货 速度 很快 感谢 京东 品尝,5,2021-01-21 22:57:43
不错 口感 非常 好吃 还 想 吃 次 愉快 美食 购物 体验 下次 还 希望 商家 越来越 红火 生意 兴隆 牛气 冲天 奥利,5,2021-01-21 18:40:15
柚子 质量 不错 味道 很 好 价格 比较 实惠 卖家 服务 态度 好 发货 速度 快 很 满意,5,2021-01-21 17:10:08
柚子 收到 京东 农场 树 箱 两 红心柚 个头 不 很 大 质量 很 好 果肉 很 新鲜 皮 薄 果肉 饱满 色泽 诱人 水分 充足 酸酸甜 甜口感 很 好 店家 还 贴心 送 开果器 快递 包装 完好无损 发货 快 物流 给力 谢谢 店家 祝 生意 兴隆,5,2021-01-21 16:07:53
京东 水果 出来 红心柚 果子 大小 适中 京东 物流 更新 比较 快 送货上门 柚子 甜甜 不 酸塞 很 好吃 活动 很 棒 还 会 继续 玩 中 水果,5,2021-01-21 10:24:10
京东 果园 次 收获 红柚 卖家 发货 速度 及时 物流 速度 非常 快 包装 结实 卖家 可能 防止 柚子 冻 坏 外面 特意 加 保温袋 两 柚子 头 大 小 均匀 水分 很 足 口感 不错,5,2021-01-20 21:15:26
两 柚子 收到 很 满意 很 好吃 水分 足 个头 好 物流 快 服务 态度 好 下次 还 去 购买 朋友 放心 选购,5,2021-01-20 16:40:00
发货 速度 质量 很 好 个头 饱满 分量 很 足皮 薄肉厚 美味 可口 香甜 汁 值得 购买 全 五星 好评,5,2021-01-17 22:53:04
京东 购买 价格 实惠 省时省力 方便 快捷 之前 次 买 柚子 都 很 好 次 次 买 部分 发苦 不 知道 原因 希望 保持 之前 口感,5,2021-01-15 21:57:44
第一 次 这家 买 苹果 收到 没 人 失望 果子 红彤彤 汁水 比较 很 好吃 第一 次 吃 静宁 苹果 其实 以前 都 没有 听 家 买 次 猕猴桃 抱 试试 心态 没 想到 真 不错,5,2021-01-15 17:14:16
很 好 很 好吃 红柚 水分 充足 甜酸,5,2021-01-15 16:51:11
很 不错 柚子 宝贝 很 喜欢,5,2021-01-12 15:59:40
发货 很快 东西 很 棒 总共 俩 好吃 还 甜,5,2021-01-12 13:41:44
蜜柚 非常 不错 包装 非常 到位 口感 非常 不错 酸甜可口 服务 非常 好 快递 非常 快,5,2021-01-10 10:07:00
非常 好 红柚 皮 很 薄肉 很 甜 吃 些 去 股 说 不 出 满足 感涌 上 心扉 寄 过来 外箱 破损 严重 幸好 红柚 厚皮 不 妨碍 水果 新鲜 特别 赞 真 好 甜 剥 皮 撕 开 白色 囊都 跟着 皮 去 掉 不 会 很多 白色 囊粘 住 果肉 影响 口感 苦涩 味道 棒棒 哒,5,2021-01-08 23:57:52
柚子 水分 很 足 吃 起来 酸酸甜甜 很 好吃 白色 客服 服务 态度 超级 好,5,2021-01-05 16:17:21
柚子 很 新鲜 包装 好 发货 快,5,2021-01-05 15:04:55
很 好 二 大 柚子 包装 好 物品 干净 没有 损伤 很 好吃 京东 元种 水果 不 负 辛苦 皮 薄汁 清香 甜 味道 好 谢谢,5,2021-01-05 14:22:13
想不到 次 出乎意料 快 送 包装 完整 没 明显 破损 打开 包装 后 闻 香味 个头 小 剥皮 工具 剥 皮 后 浓郁 柚子 香味 果肉 饱满 汁液 充足 甜酸 适宜 口感 很 好 非常 不错,5,2021-01-04 20:42:05
不错 不错 不错 包装 很 好 没有 破损 味道 还 很 甜 速度 速度 很快 冬天 吃 柚子 败火 防止 家人 孩子 上火 一起 行动 起来 棒棒 哒,5,2021-01-03 16:45:25
不错 水分 足 很 甜 包装 无 破损,5,2021-01-03 15:23:45
红心柚 子 收到 很 新鲜 均匀 很 甜 很 甜 很 好吃 老人 小孩 冬天 吃 些 柚子 都 好 柚子皮 洗 干净 泡 水 喝 有助于 身体 健康 柚子 全身 都 宝 三 次 购买,5,2021-01-03 10:14:11
发货 很 及时 物流业 非常 快 包装 很 结实 收到 没有 破损 服务 态度 非常 好 问 都 及时 回复 宝贝 质量 很 棒 值得 购买 下次 需要 还 会 选购 会 推荐 朋友,5,2021-01-02 17:33:54
发货 速度 很快 包装 完好无损 送 开皮 刀子柚子 皮 不 很 厚 切开 香气 浓郁 容易 扒皮 筋络 不 口感 酸甜 汁 水果 气味 清香 还 会 回购,5,2021-01-02 01:35:13
京东 农场 非常 新鲜 外表 金黄 包皮 肉厚 果肉 橙 紫色 酸酸甜甜 口感 好 京东 农场 真心 不错 柚子 很 新鲜 红心柚 果肉 非常 诱人 回来 迫不及待 打开 切开 蚊子 浓浓的 柚子 香味儿 皮 薄肉厚 颜色 非常 好看 果肉 颗粒 清晰 可见粒粒 饱满 非常 好,5,2021-01-01 19:21:03
农场 兑换 红心柚 子 箱 个头 不 很 大 质量 很 好 已经 兑换 好几 次 红心柚 每次 都 很 新鲜 放 放 再 吃 会 更 好吃 店家 还 贴心 赠送 开柚器 发货 快 物流 给力 好评,5,2021-01-01 14:25:47
商量 发货 速度 很快 包装 比较 用心 还 附送 剥柚 子皮 小 工具 柚子 非常 新鲜 个头适中 水分 充足 酸甜 可口 次 很 好 购物 体验,5,2021-01-01 10:04:26
发货 及时 水果 很 新鲜,5,2020-12-31 21:11:49
完美 真心 不错 皮 薄 肉 嫩汁,5,2020-12-31 19:36:56
京东 农场 非常 新鲜 外表 金黄切 开皮 浓浓的 柚香 红心柚 子皮 簿汁 酸甜可口 果肉 大 颗粒 清晰 可见粒粒 饱满 感觉 非常 好 味道 不错,5,2020-12-31 15:12:54
